City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Victoria,75,BN,1553616000,94,5.28,115.24,26.0,1.0
Moyobamba,20,PE,1553618517,72,-6.03,-76.97,28.94,1.26
San Angelo,20,US,1553618111,59,31.46,-100.44,17.22,4.6
Baruun-Urt,24,MN,1553618517,69,46.68,113.28,-10.72,2.76
Saraipali,0,IN,1553618517,68,21.32,83.0,21.14,3.31
Waingapu,32,ID,1553618517,100,-9.65,120.26,22.14,0.76
Bud,75,NO,1553617897,93,62.91,6.91,4.0,3.1
Mabaruma,0,GY,1553618518,50,8.2,-59.78,32.24,4.16
Warmbad,75,DE,1553618466,55,50.67,13.08,7.22,6.7
Zhuhai,0,CN,1553616000,10,40.71,112.04,9.0,6.0
Auki,20,NG,1553618518,17,12.18,6.51,30.89,3.61
Letchworth,75,GB,1553618516,57,51.98,-0.23,13.33,4.6
Kununurra,0,AU,1553616720,83,-15.77,128.74,28.0,1.5
Nuuk,40,GL,1553615400,30,64.17,-51.74,-1.0,3.6
Eyl,100,SO,1553618520,97,7.98,49.82,26.79,4.31
Santo Nino,75,PH,1553616000,61,15.34,120.63,26.0,1.0
Shaoyang,92,CN,1553618521,98,27.23,111.45,14.34,1.26
Husavik,0,CA,1553618428,85,50.56,-96.99,0.56,2.24
Mitsamiouli,40,KM,1553616000,74,-11.38,43.28,30.0,3.6
Dulce Nombre de Culmi,64,HN,1553618521,66,15.08,-85.56,25.84,1.41
Conde,20,BR,1553618521,73,-11.81,-37.61,30.44,4.56
Srednekolymsk,80,RU,1553618521,64,67.46,153.71,-16.12,5.21
Knyaze-Volkonskoye,0,RU,1553616000,79,48.46,135.46,-6.0,2.0
Belen,75,TR,1553615400,44,36.49,36.19,16.11,6.7
Meulaboh,44,ID,1553618522,100,4.14,96.13,27.64,1.16
Havre-Saint-Pierre,90,CA,1553616960,66,50.23,-63.6,-11.0,12.9
Paamiut,76,GL,1553618522,100,61.99,-49.67,-4.97,3.91
Baijiantan,68,CN,1553618523,88,45.63,85.18,3.39,2.66
Zhuji,100,CN,1553618002,72,29.72,120.23,16.67,2.0
Steamboat Springs,1,US,1553617672,31,40.48,-106.83,3.0,3.6
Mehamn,75,NO,1553615400,74,71.03,27.85,-1.0,8.7
Lima,20,PE,1553617929,65,-12.06,-77.04,25.0,4.1
Axim,8,GH,1553618523,97,4.87,-2.24,28.39,4.26
Tessalit,80,ML,1553618523,19,20.2,1.01,33.14,2.31
Bagrami,0,AF,1553615400,35,34.49,69.27,14.0,1.5
Edgewater,75,US,1553618502,60,28.99,-80.9,27.22,4.6
Pachino,0,IT,1553618398,67,36.72,15.09,16.0,7.7
Greece,20,US,1553618523,27,43.21,-77.69,2.78,2.6
Rio Tercero,64,AR,1553618524,69,-32.17,-64.11,17.94,3.11
Huichapan,5,MX,1553615340,29,20.38,-99.65,19.0,5.1
Te Anau,24,NZ,1553618524,90,-45.41,167.72,9.99,5.46
Lagoa,40,PT,1553618228,55,37.14,-8.45,20.56,4.1
Port Lincoln,0,AU,1553618525,100,-34.72,135.86,12.79,1.66
Broome,75,GB,1553618519,61,52.47,1.45,12.0,2.6
Shingu,0,JP,1553618525,100,33.72,135.99,12.64,7.26
Bandarbeyla,92,SO,1553618291,100,9.49,50.81,26.89,2.96
Houston,1,US,1553618524,45,29.76,-95.37,22.22,3.6
Oksfjord,90,NO,1553615400,100,70.24,22.35,-1.0,5.7
Kochki,0,RU,1553618526,82,54.33,80.49,-5.32,4.76
Istok,76,PL,1553618496,95,52.66,23.48,2.22,1.79
Bestobe,92,KZ,1553618526,94,52.5,73.1,1.14,3.26
Markova,0,RU,1553618149,53,52.21,104.21,-6.0,2.0
Carutapera,88,BR,1553618526,92,-1.2,-46.02,26.99,2.06
Dunedin,64,NZ,1553617942,93,-45.87,170.5,13.89,4.36
High Rock,20,BS,1553616000,74,26.63,-78.28,27.0,5.7
Quesnel,90,CA,1553617080,100,52.98,-122.49,2.0,2.6
Beaverlodge,90,CA,1553616000,92,55.21,-119.43,-1.0,3.6
Klyuchi,20,RU,1553618527,82,52.25,79.17,-1.42,4.91
Coahuayana,0,MX,1553618527,18,18.62,-100.35,30.24,1.26
Jiexiu,56,CN,1553618527,59,37.02,111.92,3.39,1.01
Esperance,40,TT,1553617850,52,10.24,-61.45,31.67,6.7
Iqaluit,90,CA,1553618523,65,63.75,-68.52,-16.0,6.7
Tezu,92,IN,1553618528,99,27.93,96.16,11.89,0.71
Katobu,64,ID,1553618528,100,-4.94,122.53,26.84,1.06
Gweru,0,ZW,1553618528,57,-19.46,29.82,21.09,4.91
North Bend,1,US,1553617916,81,43.41,-124.22,8.33,2.6
Porto Seguro,40,BR,1553616000,66,-16.44,-39.06,30.0,3.6
Wamba,44,CD,1553618529,97,2.14,27.99,20.54,0.96
Poronaysk,68,RU,1553618480,89,49.22,143.1,-7.47,4.21
Sri Aman,8,MY,1553616000,100,1.24,111.46,24.0,1.5
Carnot,0,CF,1553618529,59,4.94,15.87,25.99,1.66
Kotel,0,CZ,1553618469,42,50.68,14.95,7.0,6.7
Palu,80,ID,1553618530,93,-0.9,119.87,19.89,0.71
Soria,0,ES,1553616934,15,41.76,-2.46,13.33,6.26
Great Falls,40,US,1553618042,45,47.5,-111.29,11.11,5.7
Pervoye Maya,44,KG,1553618397,77,40.63,73.68,6.67,6.71
Russell,40,AR,1553616000,51,-33.01,-68.8,17.0,4.6
Sovetskaya Gavan,48,RU,1553618531,84,48.97,140.29,-5.77,7.61
Bykovo,92,RU,1553618532,62,49.76,45.39,7.24,4.01
Svetlaya,80,RU,1553618532,92,46.54,138.33,-1.02,5.71
Prince Rupert,1,CA,1553616000,80,54.32,-130.32,4.0,1.5
Kibala,80,TD,1553618532,46,9.11,18.35,33.34,1.66
Lae,48,PG,1553618532,100,-6.72,146.98,20.69,0.71
Ostrovnoy,12,RU,1553618240,86,68.05,39.51,-5.12,4.46
Padang,80,ID,1553618532,100,-0.92,100.36,25.49,2.71
Manokwari,68,ID,1553618534,99,-0.87,134.08,27.34,4.11
The Pas,40,CA,1553617260,74,53.82,-101.24,3.0,5.1
Los Llanos de Aridane,20,ES,1553618467,73,28.66,-17.92,21.0,8.7
Lufilufi,80,WS,1553617942,94,-13.87,-171.6,25.56,1.79
Kiunga,80,PG,1553618534,93,-6.12,141.3,23.69,0.91
Nguru,0,NG,1553618534,14,12.88,10.45,31.39,4.61
Biri,12,NO,1553618417,71,60.95,10.61,-0.57,0.89
Garowe,0,SO,1553618357,48,8.41,48.48,27.59,6.11
Lakatoro,64,VU,1553618535,99,-16.11,167.42,26.04,4.71
Kathu,0,ZA,1553617910,24,-27.7,23.05,28.89,3.41
Ystad,0,SE,1553618525,52,55.43,13.82,8.0,6.7
Bundaberg,75,AU,1553618408,88,-24.87,152.35,23.89,3.1
Mount Isa,90,AU,1553617020,100,-20.73,139.49,23.0,3.6
Baykit,0,RU,1553618536,68,61.68,96.39,-11.72,1.36
Prince Albert,90,CA,1553617500,99,53.2,-105.75,1.0,3.1
Walvis Bay,0,NA,1553616131,64,-22.95,14.51,21.0,3.1
Yagodnoye,76,RU,1553618537,73,62.52,149.63,-15.97,3.46
Coihaique,0,CL,1553616000,71,-45.58,-72.07,14.0,3.1
Kiruna,0,SE,1553615400,49,67.86,20.23,-3.0,2.6
Deputatskiy,20,RU,1553618537,25,69.3,139.9,-28.02,1.51
Palma,0,BR,1553618538,74,-5.02,-39.1,29.54,1.81
Emba,20,CY,1553617956,55,34.81,32.42,16.0,0.5
Darfo,0,IT,1553618237,28,45.88,10.18,15.0,3.1
Buta,44,CD,1553618539,83,2.79,24.73,26.94,0.86
Sinnamary,88,GF,1553618539,88,5.38,-52.96,27.79,4.71
Cobija,75,BR,1553616000,70,-11.02,-68.77,30.0,1.5
Saldanha,0,PT,1553618539,29,41.42,-6.55,17.04,7.81
Cedartown,90,US,1553618518,76,34.01,-85.26,15.0,5.7
Kargasok,0,RU,1553618540,82,59.06,80.87,-0.82,3.61
Ordzhonikidze,12,UA,1553618540,94,44.96,35.36,7.39,2.91
Codrington,75,AU,1553618476,88,-28.95,153.24,23.0,4.6
Maues,44,BR,1553618540,62,-3.38,-57.72,31.94,1.61
Beringovskiy,44,RU,1553618540,86,63.05,179.32,-1.22,14.06
Camopi,64,GF,1553618541,47,3.17,-52.33,33.19,1.26
Valparaiso,1,US,1553618415,25,41.47,-87.06,6.67,3.1
Mabai,88,CN,1553618541,93,23.01,104.4,15.49,0.71
Juventino Rosas,5,MX,1553618445,30,20.64,-101.0,21.67,4.56
Severo-Kurilsk,48,RU,1553618541,100,50.68,156.12,-2.72,4.76
Palmas Bellas,20,PA,1553618048,43,9.23,-80.09,33.0,10.3
Ahipara,88,NZ,1553618402,89,-35.17,173.16,19.29,5.61
Upington,0,ZA,1553616000,19,-28.46,21.24,33.0,2.6
Doha,75,QA,1553616000,69,25.29,51.53,25.0,8.2
Chivilcoy,8,AR,1553618496,56,-34.9,-60.02,21.04,2.61
Jilib,0,SO,1553618542,75,0.49,42.79,27.44,4.91
Sidi Ali,36,DZ,1553618542,65,36.1,0.42,14.99,7.46
Wahiawa,20,US,1553618214,83,21.5,-158.02,22.0,2.1
Bridlington,75,GB,1553618357,54,54.08,-0.19,12.22,5.7
Ulkan,80,RU,1553618542,75,57.24,107.32,-12.82,1.41
Manaure,0,CO,1553616000,62,11.78,-72.45,29.0,4.6
Omboue,24,GA,1553618473,100,-1.57,9.26,28.59,4.81
Workington,88,GB,1553618398,72,54.64,-3.55,11.11,2.24
Bilma,24,NE,1553618427,10,18.69,12.92,27.24,4.36
Ca Mau,20,VN,1553618543,81,9.18,105.15,27.24,5.36
Mogoytuy,0,RU,1553618543,52,51.28,114.93,-16.12,1.31
Bendigo,0,AU,1553617924,41,-36.76,144.28,10.56,1.31
Lantana,90,US,1553618483,83,26.19,-97.58,24.0,2.6
Najran,40,SA,1553616000,27,17.54,44.22,30.0,6.2
Isla Aguada,40,MX,1553615160,74,18.78,-91.49,26.0,3.6
Wanxian,12,CN,1553618543,91,30.8,108.39,8.14,0.91
